left_pupil,right_pupil,mean
6.635953426361084,4.4892377853393555,5.5625956058502197
5.89648962020874,8.16507625579834,7.03078293800354
5.004884243011475,5.076894283294678,5.0408892631530762
7.638060092926025,5.326512813568115,6.4822864532470703
6.140169143676758,5.480484485626221,5.8103268146514893
6.150734901428223,5.480484485626221,5.8156096935272217
8.549818992614746,5.130009651184082,6.8399143218994141
4.973260879516602,5.885933876037598,5.4295973777770996
5.971822261810303,6.158557415008545,6.0651898384094238
5.224967002868652,4.713656902313232,4.9693119525909424
6.082762718200684,5.480484485626221,5.7816236019134521
6.797818660736084,5.978018283843994,6.3879184722900391
4.589906215667725,5.385164737701416,4.9875354766845703
4.666472434997559,6.628450870513916,5.6474616527557373
5.206876754760742,5.680336952209473,5.4436068534851074
5.385164737701416,5.310828685760498,5.347996711730957
5.0,4.561553001403809,4.7807765007019043
4.2654242515563965,5.8632378578186035,5.0643310546875
5.326512813568115,4.6222052574157715,4.9743590354919434
4.666472434997559,5.856599807739258,5.2615361213684082
4.666472434997559,4.326507091522217,4.4964897632598877
5.830951690673828,6.059844493865967,5.9453980922698975
4.666472434997559,4.532201290130615,4.5993368625640869
4.570525646209717,4.608226299285889,4.5893759727478027
4.570525646209717,5.790334701538086,5.1804301738739014
7.105420112609863,4.57938289642334,5.8424015045166016
4.666472434997559,6.096981525421143,5.3817269802093506
6.392620086669922,5.922515392303467,6.1575677394866943
5.7166829109191895,6.06497859954834,5.8908307552337646
5.5420708656311035,6.649140357971191,6.0956056118011475
6.258805751800537,5.296806812286377,5.777806282043457
5.764958381652832,6.471331596374512,6.1181449890136719
6.476065158843994,6.268242835998535,6.3721539974212646
5.0,5.494783401489258,5.2473917007446289
6.027806758880615,5.678677558898926,5.8532421588897705
5.0,5.365307807922363,5.1826539039611816
7.431337833404541,6.5652546882629395,6.9982962608337402
6.38851261138916,6.21555233001709,6.302032470703125
7.205433368682861,6.966896057128906,7.0861647129058838
5.193510055541992,5.4519805908203125,5.3227453231811523
5.3520941734313965,4.608226299285889,4.9801602363586426
5.004884243011475,6.059844493865967,5.5323643684387207
4.8381853103637695,5.275834560394287,5.0570099353790283
5.0,6.6810526847839355,5.8405263423919678
5.003330230712891,5.897143363952637,5.4502367973327637
5.0,6.481729984283447,5.7408649921417236
4.820444583892822,6.214931011199951,5.5176877975463867
5.274594306945801,6.588392734527588,5.9314935207366943
6.038635730743408,6.225030422210693,6.1318330764770508
6.373622417449951,5.0367960929870605,5.7052092552185059
5.429246425628662,5.385733127593994,5.4074897766113281
5.3722243309021,6.031357288360596,5.7017908096313477
5.482779502868652,4.822849750518799,5.1528146266937256
5.1036248207092285,5.587796688079834,5.3457107543945312
5.338132381439209,5.989654064178467,5.6638932228088379
6.269303798675537,6.5463948249816895,6.4078493118286133
5.732100963592529,6.504192352294922,6.1181466579437256
4.341928958892822,5.8632378578186035,5.1025834083557129
7.625576496124268,5.732100963592529,6.6788387298583984
5.480484485626221,4.824850082397461,5.1526672840118408
4.6222052574157715,6.419537544250488,5.5208714008331299
5.106649875640869,5.338132381439209,5.2223911285400391
4.57938289642334,5.732100963592529,5.1557419300079346
5.29823637008667,5.3955488204956055,5.3468925952911377
4.4721360206604,5.003330230712891,4.7377331256866455
5.897143363952637,5.130009651184082,5.5135765075683594
4.722350120544434,4.561622142791748,4.6419861316680908
5.8291544914245605,5.258759021759033,5.5439567565917969
4.243158340454102,5.064495086669922,4.6538267135620117
5.69116735458374,5.4726128578186035,5.5818901062011719
5.196683406829834,4.610969543457031,4.9038264751434326
6.256259918212891,4.920416831970215,5.5883383750915527
5.151428699493408,6.037667751312256,5.594548225402832
7.132541656494141,4.249183654785156,5.6908626556396484
5.8632378578186035,6.158557415008545,6.0108976364135742
4.570525646209717,4.385513782501221,4.4780197143554687
6.228475093841553,4.6222052574157715,5.4253401756286621
6.030405044555664,4.570525646209717,5.3004653453826904
4.732710361480713,5.0,4.8663551807403564
5.0,4.43031644821167,4.715158224105835
5.1036248207092285,6.440173625946045,5.7718992233276367
5.914054870605469,4.7856550216674805,5.3498549461364746
4.800518989562988,4.2654242515563965,4.5329716205596924
6.059844493865967,5.480484485626221,5.7701644897460938
6.033039569854736,5.881280899047852,5.9571602344512939
6.588392734527588,6.488509178161621,6.5384509563446045
6.656797409057617,4.589906215667725,5.6233518123626709
6.059430122375488,5.633530616760254,5.8464803695678711
5.381554126739502,5.482779502868652,5.4321668148040771
4.601396560668945,5.12677526473999,4.8640859127044678
5.0,5.8705668449401855,5.4352834224700928
5.494783401489258,7.037733554840088,6.2662584781646729
5.845340728759766,5.480484485626221,5.6629126071929932
